Block,Connector Ref,Connector MPN,Pin,Net
usb_pd,J1,TYPE-C-31-M-12,A1,GND
usb_pd,J1,TYPE-C-31-M-12,A12,GND
usb_pd,J1,TYPE-C-31-M-12,B1,GND
usb_pd,J1,TYPE-C-31-M-12,B12,GND
usb_pd,J1,TYPE-C-31-M-12,A4,+VIN
usb_pd,J1,TYPE-C-31-M-12,A9,+VIN
usb_pd,J1,TYPE-C-31-M-12,B4,+VIN
usb_pd,J1,TYPE-C-31-M-12,B9,+VIN
usb_pd,J1,TYPE-C-31-M-12,A5,STM32_USB_CC1
usb_pd,J1,TYPE-C-31-M-12,B5,STM32_USB_CC2
usb_pd,J1,TYPE-C-31-M-12,A6,USB_DP
usb_pd,J1,TYPE-C-31-M-12,B6,USB_DP
usb_pd,J1,TYPE-C-31-M-12,A7,USB_DM
usb_pd,J1,TYPE-C-31-M-12,B7,USB_DM
usb_pd,J1,TYPE-C-31-M-12,SH,CHASSIS_GND
ethernet,J1,RJHSE5380,1,ETH_LINE_MDI_0_P
ethernet,J1,RJHSE5380,2,ETH_LINE_MDI_0_N
ethernet,J1,RJHSE5380,3,ETH_LINE_MDI_1_P
ethernet,J1,RJHSE5380,4,ETH_LINE_MDI_2_P
ethernet,J1,RJHSE5380,5,ETH_LINE_MDI_2_N
ethernet,J1,RJHSE5380,6,ETH_LINE_MDI_1_N
ethernet,J1,RJHSE5380,7,ETH_LINE_MDI_3_P
ethernet,J1,RJHSE5380,8,ETH_LINE_MDI_3_N
ethernet,J1,RJHSE5380,LED1_A,ZYNQ_ETH_LED_LINK
ethernet,J1,RJHSE5380,LED2_A,ZYNQ_ETH_LED_ACT
ethernet,J1,RJHSE5380,SHIELD,CHASSIS_GND
