Comment,Designator,Footprint,LCSC Part #,Qty,Manufacturer Part,Status
4u7,"C1,C7,C8,C9,C10,C11,C12,C15,C32,C34,C36,C38,C40,C44,C45,C52,C57,C59,C66,C70,C71,C77,C78,C79,C87,C88,C95,C97,C103,C123,C128,C129,C139,C141",C_0402_1005Metric,C368809,34,,JLCPCB
100n,"C2,C3,C4,C5,C6,C16,C17,C18,C19,C20,C21,C22,C138,C142",C_0402_1005Metric,C1525,14,,JLCPCB
470n,"C13,C23,C33,C35,C37,C39,C41,C43,C46,C47,C48,C50,C53,C54,C55,C56,C61,C62,C67,C69,C72,C76,C80,C81,C82,C83,C84,C85,C89,C90,C91,C92,C94,C98,C99,C100,C101,C102,C107,C108,C112,C114,C130,C131,C132,C133,C134,C135,C136,C137",C_0201_0603Metric,C85926,50,,JLCPCB
100n,C14,C_0402_1005Metric,,1,,DNP
47u,"C24,C27,C28,C29,C31,C49,C73,C74,C75,C86,C127",C_0805_2012Metric,C16780,11,,JLCPCB
22u,"C25,C26,C30",C_0805_2012Metric,C98190,3,,JLCPCB
100u,"C42,C51,C58,C60,C63,C64,C68,C93,C96",C_1206_3216Metric,C15008,9,,JLCPCB
10u,C65,C_0402_1005Metric,C15525,1,,JLCPCB
47n,"C104,C105,C106,C109,C110,C111,C113,C118,C119,C120,C121,C122,C124,C125,C126",C_0201_0603Metric,C85925,15,,JLCPCB
LED_Small,D2,LED_0603_1608Metric,C19273151,1,,JLCPCB
MountingHole,"H1,H2,H3,H4",MountingHole_2.7mm_M2.5_ISO14580_MOD,,4,,DNP
DF40C-100DS-0.4V_51,"J1,J2,J3",HRS_DF40C-100DS-0.4V_51_,C597931,3,DF40HC(3.0)-100DS-0.4V(51),JLCPCB
3u3,L1,L_0806_2.0x1.6mm,C3002532,1,,JLCPCB
120R,"L2,L3,L4,L6,L7,L8,L9",L_0402_1005Metric,C275478,7,,JLCPCB
600@100MHz,L5,L_0402_1005Metric,C337875,1,,JLCPCB
NMOS,Q3,SOT-23,C8545,1,,JLCPCB
10k,"R1,R5,R6,R13,R15,R39,R40,R41,R42,R43,R44,R74,R75,R76,R77,R86,R87,R88,R89,R90,R92,R93,R94,R97,R100",R_0402_1005Metric,C25744,25,,JLCPCB
22R,"R2,R20,R21,R22,R49,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R95,R96",R_0402_1005Metric,C25105,30,,JLCPCB
1k5,"R3,R4,R14",R_0402_1005Metric,C25867,3,,JLCPCB
4k7,"R7,R8,R9,R10,R11,R12,R17,R18,R19,R48,R98,R99",R_0402_1005Metric,C25900,12,,JLCPCB
2k49,R16,R_0402_1005Metric,C25884,1,,JLCPCB
100k,"R23,R27,R28,R29,R30,R31,R32,R35,R36,R78,R79,R80,R81,R82,R83,R84,R85",R_0402_1005Metric,C60491,17,,JLCPCB
8k06,R24,R_0402_1005Metric,C25923,1,,JLCPCB
28k7,R25,R_0402_1005Metric,C26972,1,,JLCPCB
200k,"R26,R33,R37",R_0402_1005Metric,C137903,3,,JLCPCB
44k2,R34,R_0402_1005Metric,C25895,1,,JLCPCB
160k,R38,R_0402_1005Metric,C25757,1,,JLCPCB
240R,R45,R_0402_1005Metric,C25094,1,,JLCPCB
100R,"R46,R47",R_0201_0603Metric,C270336,2,,JLCPCB
100R,R50,R_0402_1005Metric,C25076,1,,JLCPCB
330,R91,R_0402_1005Metric,C25104,1,,JLCPCB
TestPoint,"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16",TestPoint_Pad_D0.7mm,,16,,DNP
MT41K256M16TW-107_P,U1,BGA96C80P9X16_1400X800X120,C253882,1,,JLCPCB
XC7Z020-CLG484,U2,CLG484_XIL-L_new,C1519066,1,,JLCPCB
RTL8211F,U3,RTL8211F-CG_RTK-L,C187932,1,,JLCPCB
MPM3834,"U4,U6",MPM3834,C6675417,2,MPM3834CGPA-Z,JLCPCB
USB3318,U5,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,,1,USB3318C-CP-TR,Consign
IS21ES08G,U7,BGA153N50P14X14_1150X1300X100,C499918,1,IS21ES08GA-JCLI-TR,JLCPCB
TPSM82864,U8,B0QFN_RDJ,C5219321,1,,JLCPCB
STM32G431CBUx,U9,STM32G431CBU6,C529356,1,,JLCPCB
MPM3822,U10,QFN_2p5x3p5x1p6_MNP,C5799652,1,,JLCPCB
W25Q128JVS,U11,WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,,1,W25Q128JVPIQ,Consign
TPS7A20,U13,TLV707,C2862740,1,,JLCPCB
BMI323,U14,BMI323_BOS,C5368700,1,,JLCPCB
ASCO,X1,Oscillator_SMD_Kyocera_4PIN_2.0x1.6mm,,1,KC2016Z13.0000C1KX00,Consign
ASE-xxxMHz,X2,Oscillator_SMD_Kyocera_4PIN_2.0x1.6mm,C669080,1,KC2016Z25.0000C1KX00,JLCPCB
CMOS_OSC,X3,Oscillator_SMD_Kyocera_4PIN_2.0x1.6mm,,1,KC2016Z33.0000C15XXK,Consign
