net,sheet,kind,net_class,impedance_ohm,track_width_mm,pair_gap_mm,pair_with,length_match_group,match_tolerance_mm,notes
CAM_CLK_N,camera,diff_pair,DP100_DIFF,100,0.2052,0.2032,CAM_CLK_P,PAIR:CAM_CLK_N/CAM_CLK_P,1.27,"deferred: som_j3_connector (PL bank 35, LVDS_25, +VCCO_35=2.5V); JLCPCB calculator, JLC04161H-7628 outer/L2"
CAM_CLK_P,camera,diff_pair,DP100_DIFF,100,0.2052,0.2032,CAM_CLK_N,PAIR:CAM_CLK_N/CAM_CLK_P,1.27,"deferred: som_j3_connector (PL bank 35, LVDS_25, +VCCO_35=2.5V); JLCPCB calculator, JLC04161H-7628 outer/L2"
CAM_D0_N,camera,diff_pair,DP100_DIFF,100,0.2052,0.2032,CAM_D0_P,PAIR:CAM_D0_N/CAM_D0_P,1.27,"deferred: som_j3_connector (PL bank 35, LVDS_25, +VCCO_35=2.5V); JLCPCB calculator, JLC04161H-7628 outer/L2"
CAM_D0_P,camera,diff_pair,DP100_DIFF,100,0.2052,0.2032,CAM_D0_N,PAIR:CAM_D0_N/CAM_D0_P,1.27,"deferred: som_j3_connector (PL bank 35, LVDS_25, +VCCO_35=2.5V); JLCPCB calculator, JLC04161H-7628 outer/L2"
CAM_D1_N,camera,diff_pair,DP100_DIFF,100,0.2052,0.2032,CAM_D1_P,PAIR:CAM_D1_N/CAM_D1_P,1.27,"deferred: som_j3_connector (PL bank 35, LVDS_25, +VCCO_35=2.5V); JLCPCB calculator, JLC04161H-7628 outer/L2"
CAM_D1_P,camera,diff_pair,DP100_DIFF,100,0.2052,0.2032,CAM_D1_N,PAIR:CAM_D1_N/CAM_D1_P,1.27,"deferred: som_j3_connector (PL bank 35, LVDS_25, +VCCO_35=2.5V); JLCPCB calculator, JLC04161H-7628 outer/L2"
ETH_LINE_MDI_0_N,ethernet,diff_pair,DP100_DIFF,100,0.2052,0.2032,ETH_LINE_MDI_0_P,PAIR:ETH_LINE_MDI_0_N/ETH_LINE_MDI_0_P,1.27,"deferred: rj45_connector (wave 2); JLCPCB calculator, JLC04161H-7628 outer/L2"
ETH_LINE_MDI_0_P,ethernet,diff_pair,DP100_DIFF,100,0.2052,0.2032,ETH_LINE_MDI_0_N,PAIR:ETH_LINE_MDI_0_N/ETH_LINE_MDI_0_P,1.27,"deferred: rj45_connector (wave 2); JLCPCB calculator, JLC04161H-7628 outer/L2"
ETH_LINE_MDI_1_N,ethernet,diff_pair,DP100_DIFF,100,0.2052,0.2032,ETH_LINE_MDI_1_P,PAIR:ETH_LINE_MDI_1_N/ETH_LINE_MDI_1_P,1.27,"deferred: rj45_connector (wave 2); JLCPCB calculator, JLC04161H-7628 outer/L2"
ETH_LINE_MDI_1_P,ethernet,diff_pair,DP100_DIFF,100,0.2052,0.2032,ETH_LINE_MDI_1_N,PAIR:ETH_LINE_MDI_1_N/ETH_LINE_MDI_1_P,1.27,"deferred: rj45_connector (wave 2); JLCPCB calculator, JLC04161H-7628 outer/L2"
