net,sheet,kind,net_class,impedance_ohm,track_width_mm,pair_gap_mm,pair_with,length_match_group,match_tolerance_mm,notes
ETH_PHY_MDI0_N,som_j1,diff_pair,DP100_DIFF,100,0.2052,0.2032,ETH_PHY_MDI0_P,PAIR:ETH_PHY_MDI0_N/ETH_PHY_MDI0_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
ETH_PHY_MDI0_P,som_j1,diff_pair,DP100_DIFF,100,0.2052,0.2032,ETH_PHY_MDI0_N,PAIR:ETH_PHY_MDI0_N/ETH_PHY_MDI0_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
ETH_PHY_MDI1_N,som_j1,diff_pair,DP100_DIFF,100,0.2052,0.2032,ETH_PHY_MDI1_P,PAIR:ETH_PHY_MDI1_N/ETH_PHY_MDI1_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
ETH_PHY_MDI1_P,som_j1,diff_pair,DP100_DIFF,100,0.2052,0.2032,ETH_PHY_MDI1_N,PAIR:ETH_PHY_MDI1_N/ETH_PHY_MDI1_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
ETH_PHY_MDI2_N,som_j1,diff_pair,DP100_DIFF,100,0.2052,0.2032,ETH_PHY_MDI2_P,PAIR:ETH_PHY_MDI2_N/ETH_PHY_MDI2_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
ETH_PHY_MDI2_P,som_j1,diff_pair,DP100_DIFF,100,0.2052,0.2032,ETH_PHY_MDI2_N,PAIR:ETH_PHY_MDI2_N/ETH_PHY_MDI2_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
ETH_PHY_MDI3_N,som_j1,diff_pair,DP100_DIFF,100,0.2052,0.2032,ETH_PHY_MDI3_P,PAIR:ETH_PHY_MDI3_N/ETH_PHY_MDI3_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
ETH_PHY_MDI3_P,som_j1,diff_pair,DP100_DIFF,100,0.2052,0.2032,ETH_PHY_MDI3_N,PAIR:ETH_PHY_MDI3_N/ETH_PHY_MDI3_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
STM32_USB_D_N,pd_input,usb_hs_pair,DP90_USB,90,0.2611,0.2032,STM32_USB_D_P,PAIR:STM32_USB_D_N/STM32_USB_D_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
STM32_USB_D_P,pd_input,usb_hs_pair,DP90_USB,90,0.2611,0.2032,STM32_USB_D_N,PAIR:STM32_USB_D_N/STM32_USB_D_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
STM32_USB_D_N,som_j1,usb_hs_pair,DP90_USB,90,0.2611,0.2032,STM32_USB_D_P,PAIR:STM32_USB_D_N/STM32_USB_D_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
STM32_USB_D_P,som_j1,usb_hs_pair,DP90_USB,90,0.2611,0.2032,STM32_USB_D_N,PAIR:STM32_USB_D_N/STM32_USB_D_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
USB_D+,som_j1,usb_hs_pair,DP90_USB,90,0.2611,0.2032,USB_D-,PAIR:USB_D+/USB_D-,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
USB_D-,som_j1,usb_hs_pair,DP90_USB,90,0.2611,0.2032,USB_D+,PAIR:USB_D+/USB_D-,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
USB_UART_DM,uart_bridge,usb_hs_pair,DP90_USB,90,0.2611,0.2032,USB_UART_DP,PAIR:USB_UART_DM/USB_UART_DP,1.27,"deferred: usb_uart_connector (wave 2); JLCPCB calculator, JLC04161H-7628 outer/L2"
USB_UART_DP,uart_bridge,usb_hs_pair,DP90_USB,90,0.2611,0.2032,USB_UART_DM,PAIR:USB_UART_DM/USB_UART_DP,1.27,"deferred: usb_uart_connector (wave 2); JLCPCB calculator, JLC04161H-7628 outer/L2"
USB_UART_DM,usb_uart_connector,usb_hs_pair,DP90_USB,90,0.2611,0.2032,USB_UART_DP,PAIR:USB_UART_DM/USB_UART_DP,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
USB_UART_DP,usb_uart_connector,usb_hs_pair,DP90_USB,90,0.2611,0.2032,USB_UART_DM,PAIR:USB_UART_DM/USB_UART_DP,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
STM32_BOOT0,debug_boot,single,Default,,,,,,,deferred: som_j1_connector
STM32_GPIO5,debug_boot,single,Default,,,,,,,deferred: som_j1_connector
STM32_GPIO6,debug_boot,single,Default,,,,,,,deferred: som_j1_connector
STM32_GPIO7,debug_boot,single,Default,,,,,,,deferred: som_j1_connector
STM32_GPIO8,debug_boot,single,Default,,,,,,,deferred: som_j1_connector
STM32_NRST,debug_boot,single,Default,,,,,,,deferred: som_j1_connector
ZYNQ_TCK,debug_boot,single,Default,,,,,,,deferred: som_j1_connector
ZYNQ_TDI,debug_boot,single,Default,,,,,,,deferred: som_j1_connector
ZYNQ_TDO,debug_boot,single,Default,,,,,,,deferred: som_j1_connector
ZYNQ_TMS,debug_boot,single,Default,,,,,,,deferred: som_j1_connector
PD_FLT_N,pd_input,single,Default,,,,,,,deferred: bringup (TCA9535 expander port P15)
STM32_USB_CC1,pd_input,single,Default,,,,,,,
STM32_USB_CC2,pd_input,single,Default,,,,,,,
EN_1V8,power,single,Default,,,,,,,"deferred: bringup (wave 2 rail-enable cells, dossier section 3.1)"
EN_3V3,power,single,Default,,,,,,,"deferred: bringup (wave 2 rail-enable cells, dossier section 3.1)"
EN_5V0,power,single,Default,,,,,,,"deferred: bringup (wave 2 rail-enable cells, dossier section 3.1)"
PMON_ALERT_N,power_mon,single,Default,,,,,,,deferred: bringup (TCA9535 spare port P11)
ETH_LED1,som_j1,single,Default,,,,,,,
ETH_LED2,som_j1,single,Default,,,,,,,
IO_0_35,som_j1,single,Default,,,,,,,
IO_L1_N_35,som_j1,single,Default,,,,,,,
IO_L1_P_35,som_j1,single,Default,,,,,,,
IO_L2_N_35,som_j1,single,Default,,,,,,,
IO_L4_N_35,som_j1,single,Default,,,,,,,
IO_L4_P_35,som_j1,single,Default,,,,,,,
IO_L5_N_35,som_j1,single,Default,,,,,,,
IO_L5_P_35,som_j1,single,Default,,,,,,,
IO_L6_P_35,som_j1,single,Default,,,,,,,
IO_L6_VREF_N_35,som_j1,single,Default,,,,,,,
STM32_BOOT0,som_j1,single,Default,,,,,,,
STM32_GPIO1,som_j1,single,Default,,,,,,,
STM32_GPIO2,som_j1,single,Default,,,,,,,
STM32_GPIO3,som_j1,single,Default,,,,,,,
STM32_GPIO4,som_j1,single,Default,,,,,,,
STM32_GPIO5,som_j1,single,Default,,,,,,,
STM32_GPIO6,som_j1,single,Default,,,,,,,
STM32_GPIO7,som_j1,single,Default,,,,,,,
STM32_GPIO8,som_j1,single,Default,,,,,,,
STM32_I2C2_SCL,som_j1,single,Default,,,,,,,
STM32_I2C2_SDA,som_j1,single,Default,,,,,,,
STM32_NRST,som_j1,single,Default,,,,,,,
STM32_USB_CC1,som_j1,single,Default,,,,,,,
STM32_USB_CC2,som_j1,single,Default,,,,,,,
USB_ID,som_j1,single,Default,,,,,,,
USB_VBUS,som_j1,single,Default,,,,,,,
VBUS_OUT_EN,som_j1,single,Default,,,,,,,
ZYNQ_PS_MIO0,som_j1,single,Default,,,,,,,
ZYNQ_PS_MIO12,som_j1,single,Default,,,,,,,
ZYNQ_PS_MIO7/VM0,som_j1,single,Default,,,,,,,
ZYNQ_PS_MIO8\VM1,som_j1,single,Default,,,,,,,
ZYNQ_PS_MIO9,som_j1,single,Default,,,,,,,
ZYNQ_PS_UART0_RXD,som_j1,single,Default,,,,,,,
ZYNQ_PS_UART0_TXD,som_j1,single,Default,,,,,,,
ZYNQ_TCK,som_j1,single,Default,,,,,,,
ZYNQ_TDI,som_j1,single,Default,,,,,,,
ZYNQ_TDO,som_j1,single,Default,,,,,,,
ZYNQ_TMS,som_j1,single,Default,,,,,,,
IO_25_13,som_j2,single,Default,,,,,,,
IO_25_33,som_j2,single,Default,,,,,,,
IO_L10_N_13,som_j2,single,Default,,,,,,,
IO_L10_N_33,som_j2,single,Default,,,,,,,
IO_L10_P_13,som_j2,single,Default,,,,,,,
IO_L10_P_33,som_j2,single,Default,,,,,,,
IO_L11_SRCC_N_13,som_j2,single,Default,,,,,,,
IO_L11_SRCC_N_33,som_j2,single,Default,,,,,,,
IO_L11_SRCC_P_13,som_j2,single,Default,,,,,,,
IO_L11_SRCC_P_33,som_j2,single,Default,,,,,,,
IO_L12_MRCC_N_13,som_j2,single,Default,,,,,,,
IO_L12_MRCC_N_33,som_j2,single,Default,,,,,,,
IO_L12_MRCC_P_13,som_j2,single,Default,,,,,,,
IO_L12_MRCC_P_33,som_j2,single,Default,,,,,,,
IO_L13_MRCC_N_13,som_j2,single,Default,,,,,,,
IO_L13_MRCC_P_13,som_j2,single,Default,,,,,,,
IO_L14_N_SRCC_13,som_j2,single,Default,,,,,,,
IO_L14_P_SRCC_13,som_j2,single,Default,,,,,,,
IO_L14_SRCC_N_33,som_j2,single,Default,,,,,,,
IO_L14_SRCC_P_33,som_j2,single,Default,,,,,,,
IO_L15_N_33,som_j2,single,Default,,,,,,,
IO_L15_P_13,som_j2,single,Default,,,,,,,
IO_L15_P_33,som_j2,single,Default,,,,,,,
IO_L16_N_13,som_j2,single,Default,,,,,,,
IO_L16_N_33,som_j2,single,Default,,,,,,,
IO_L16_P_13,som_j2,single,Default,,,,,,,
IO_L17_N_13,som_j2,single,Default,,,,,,,
IO_L17_N_33,som_j2,single,Default,,,,,,,
IO_L17_P_13,som_j2,single,Default,,,,,,,
IO_L17_P_33,som_j2,single,Default,,,,,,,
IO_L18_N_33,som_j2,single,Default,,,,,,,
IO_L18_P_33,som_j2,single,Default,,,,,,,
IO_L19_P_13,som_j2,single,Default,,,,,,,
IO_L19_P_33,som_j2,single,Default,,,,,,,
