Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4u7,C_0402_1005Metric,40.050000mm,29.275000mm,0.000000,Top
C2,100n,C_0402_1005Metric,40.050000mm,28.300000mm,0.000000,Top
C6,100n,C_0402_1005Metric,41.600000mm,31.900000mm,90.000000,Top
C7,4u7,C_0402_1005Metric,42.750000mm,31.850000mm,90.000000,Top
C8,4u7,C_0402_1005Metric,1.120000mm,34.555000mm,90.000000,Top
C9,4u7,C_0402_1005Metric,4.070000mm,34.505000mm,90.000000,Top
C17,100n,C_0402_1005Metric,33.970000mm,35.410000mm,90.000000,Top
C18,100n,C_0402_1005Metric,40.510000mm,35.350000mm,90.000000,Top
C21,100n,C_0402_1005Metric,42.650000mm,3.750000mm,180.000000,Top
C22,100n,C_0402_1005Metric,46.565000mm,34.600000mm,90.000000,Top
C24,47u,C_0805_2012Metric,3.990000mm,10.230000mm,180.000000,Top
C25,22u,C_0805_2012Metric,3.090000mm,16.967497mm,0.000000,Top
C26,22u,C_0805_2012Metric,3.100000mm,24.830000mm,180.000000,Top
C27,47u,C_0805_2012Metric,3.100000mm,19.905000mm,180.000000,Top
C28,47u,C_0805_2012Metric,3.100000mm,32.530000mm,180.000000,Top
C29,47u,C_0805_2012Metric,3.100000mm,27.610000mm,180.000000,Top
C30,22u,C_0805_2012Metric,8.775002mm,3.850000mm,-90.000000,Top
C31,47u,C_0805_2012Metric,14.975002mm,3.756700mm,-90.000000,Top
C33,470n,C_0201_0603Metric,10.430000mm,24.670000mm,90.000000,Top
C34,4u7,C_0402_1005Metric,11.850000mm,24.530000mm,-90.000000,Top
C35,470n,C_0201_0603Metric,16.600000mm,39.275000mm,90.000000,Top
C36,4u7,C_0402_1005Metric,7.200000mm,40.350000mm,90.000000,Top
C37,470n,C_0201_0603Metric,16.000000mm,32.700000mm,0.000000,Top
C38,4u7,C_0402_1005Metric,16.350000mm,24.250000mm,180.000000,Top
C39,470n,C_0201_0603Metric,13.500000mm,22.620000mm,180.000000,Top
C40,4u7,C_0402_1005Metric,10.010000mm,27.040000mm,180.000000,Top
C41,470n,C_0201_0603Metric,17.900000mm,32.700000mm,180.000000,Top
C42,100u,C_1206_3216Metric,6.400000mm,19.300000mm,-90.000000,Top
C51,100u,C_1206_3216Metric,6.110000mm,7.170000mm,-90.000000,Top
C58,100u,C_1206_3216Metric,2.690000mm,7.630000mm,180.000000,Top
C70,4u7,C_0402_1005Metric,42.025000mm,39.475000mm,90.000000,Top
C71,4u7,C_0402_1005Metric,27.575000mm,38.500000mm,0.000000,Top
C73,47u,C_0805_2012Metric,23.275000mm,35.900000mm,180.000000,Top
C74,47u,C_0805_2012Metric,47.200000mm,31.600000mm,0.000000,Top
C75,47u,C_0805_2012Metric,47.700000mm,10.700000mm,180.000000,Top
C77,4u7,C_0402_1005Metric,44.975000mm,15.350000mm,0.000000,Top
C78,4u7,C_0402_1005Metric,42.825000mm,37.625000mm,0.000000,Top
C79,4u7,C_0402_1005Metric,48.730000mm,22.810000mm,180.000000,Top
C86,47u,C_0805_2012Metric,40.500000mm,1.900000mm,0.000000,Top
C88,4u7,C_0402_1005Metric,40.725000mm,3.750000mm,0.000000,Top
C93,100u,C_1206_3216Metric,17.200000mm,4.225000mm,-90.000000,Top
C100,470n,C_0201_0603Metric,29.550000mm,2.525000mm,-90.000000,Top
C107,470n,C_0201_0603Metric,33.475000mm,40.725000mm,-90.000000,Top
C108,470n,C_0201_0603Metric,31.300000mm,40.050000mm,0.000000,Top
C112,470n,C_0201_0603Metric,7.850000mm,25.370000mm,90.000000,Top
C114,470n,C_0201_0603Metric,11.290000mm,17.150000mm,0.000000,Top
C120,47n,C_0201_0603Metric,10.480000mm,8.030000mm,180.000000,Top
C121,47n,C_0201_0603Metric,8.890000mm,8.030000mm,180.000000,Top
C122,47n,C_0201_0603Metric,9.739998mm,17.150000mm,0.000000,Top
C123,4u7,C_0402_1005Metric,12.100000mm,6.400000mm,180.000000,Top
C128,4u7,C_0402_1005Metric,19.650000mm,5.995000mm,-90.000000,Top
C129,4u7,C_0402_1005Metric,23.500000mm,4.550000mm,90.000000,Top
C136,470n,C_0201_0603Metric,8.925000mm,41.225000mm,180.000000,Top
C141,4u7,C_0402_1005Metric,24.300000mm,34.025000mm,-90.000000,Top
C142,100n,C_0402_1005Metric,19.360000mm,34.450000mm,90.000000,Top
D2,LED_Small,LED_0603_1608Metric,47.300000mm,8.525000mm,0.000000,Top
L1,3u3,L_0806_2.0x1.6mm,42.360000mm,29.340000mm,0.000000,Top
L6,120R,L_0402_1005Metric,47.600000mm,34.600000mm,90.000000,Top
L8,120R,L_0402_1005Metric,20.380000mm,33.420000mm,-90.000000,Top
R1,10k,R_0402_1005Metric,10.250000mm,28.025000mm,0.000000,Top
R9,4k7,R_0402_1005Metric,37.200000mm,28.200000mm,180.000000,Top
R14,1k5,R_0402_1005Metric,31.510000mm,33.100000mm,0.000000,Top
R20,22R,R_0402_1005Metric,42.700000mm,34.500000mm,-90.000000,Top
R22,22R,R_0402_1005Metric,28.025000mm,29.875000mm,-45.000000,Top
R23,100k,R_0402_1005Metric,0.850000mm,23.325000mm,90.000000,Top
R25,28k7,R_0402_1005Metric,0.747500mm,13.362496mm,-90.000000,Top
R26,200k,R_0402_1005Metric,0.850000mm,21.450000mm,90.000000,Top
R28,100k,R_0402_1005Metric,6.700000mm,38.150000mm,0.000000,Top
R29,100k,R_0402_1005Metric,6.300000mm,36.900000mm,0.000000,Top
R32,100k,R_0402_1005Metric,6.300000mm,34.850000mm,0.000000,Top
R33,200k,R_0402_1005Metric,0.750000mm,29.090000mm,90.000000,Top
R34,44k2,R_0402_1005Metric,0.750000mm,30.990000mm,90.000000,Top
R35,100k,R_0402_1005Metric,13.990000mm,0.850000mm,0.000000,Top
R36,100k,R_0402_1005Metric,6.300000mm,35.900000mm,0.000000,Top
R37,200k,R_0402_1005Metric,11.850000mm,0.850000mm,180.000000,Top
R38,160k,R_0402_1005Metric,9.955001mm,0.850000mm,180.000000,Top
R39,10k,R_0402_1005Metric,16.250000mm,23.290000mm,180.000000,Top
R40,10k,R_0402_1005Metric,7.640000mm,27.470000mm,-90.000000,Top
R41,10k,R_0402_1005Metric,8.560000mm,23.520000mm,90.000000,Top
R42,10k,R_0402_1005Metric,10.375000mm,23.225000mm,180.000000,Top
R43,10k,R_0402_1005Metric,8.610000mm,27.470000mm,-90.000000,Top
R44,10k,R_0402_1005Metric,10.275000mm,30.150000mm,0.000000,Top
R45,240R,R_0402_1005Metric,13.520000mm,7.810000mm,0.000000,Top
R53,22R,R_0402_1005Metric,21.910000mm,17.670000mm,180.000000,Top
R56,22R,R_0402_1005Metric,21.910000mm,18.700001mm,180.000000,Top
R58,22R,R_0402_1005Metric,21.910000mm,19.700001mm,180.000000,Top
R61,22R,R_0402_1005Metric,21.910000mm,20.725001mm,180.000000,Top
R62,22R,R_0402_1005Metric,21.910000mm,21.730000mm,180.000000,Top
R66,22R,R_0402_1005Metric,22.040000mm,24.140000mm,180.000000,Top
R67,22R,R_0402_1005Metric,21.910000mm,22.740000mm,180.000000,Top
R74,10k,R_0402_1005Metric,25.550000mm,35.500000mm,-90.000000,Top
R75,10k,R_0402_1005Metric,26.520000mm,35.630000mm,90.000000,Top
R77,10k,R_0402_1005Metric,10.250000mm,29.000000mm,180.000000,Top
R78,100k,R_0402_1005Metric,7.150000mm,31.700000mm,180.000000,Top
R79,100k,R_0402_1005Metric,7.150000mm,32.700000mm,0.000000,Top
R84,100k,R_0402_1005Metric,10.275000mm,31.100000mm,0.000000,Top
R85,100k,R_0402_1005Metric,10.263650mm,32.000000mm,180.000000,Top
R86,10k,R_0402_1005Metric,17.500000mm,36.900000mm,180.000000,Top
R90,10k,R_0402_1005Metric,30.900000mm,34.600000mm,90.000000,Top
R91,330,R_0402_1005Metric,46.875000mm,6.900000mm,0.000000,Top
R94,10k,R_0402_1005Metric,29.880000mm,34.600000mm,-90.000000,Top
R95,22R,R_0402_1005Metric,20.975000mm,28.600000mm,0.000000,Top
R96,22R,R_0402_1005Metric,24.530000mm,29.140000mm,-45.000000,Top
R99,4k7,R_0402_1005Metric,43.000000mm,2.150000mm,-90.000000,Top
R100,10k,R_0402_1005Metric,17.190000mm,33.710000mm,180.000000,Top
U1,MT41K256M16TW-107_P,BGA96C80P9X16_1400X800X120,14.489998mm,12.600001mm,-90.000000,Top
U2,XC7Z020-CLG484,CLG484_XIL-L_new,32.899999mm,17.800000mm,0.000000,Top
U3,RTL8211F,RTL8211F-CG_RTK-L,37.260000mm,32.720000mm,-90.000000,Top
U4,MPM3834,MPM3834,3.175000mm,22.355000mm,-90.000000,Top
U6,MPM3834,MPM3834,3.070000mm,30.090000mm,-90.000000,Top
U8,TPSM82864,B0QFN_RDJ,3.252500mm,13.492499mm,0.000000,Top
U9,STM32G431CBUx,STM32G431CBU6,12.052000mm,36.800000mm,0.000000,Top
U10,MPM3822,QFN_2p5x3p5x1p6_MNP,11.925001mm,3.700000mm,90.000000,Top
U11,W25Q128JVS,WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,15.675000mm,29.000000mm,0.000000,Top
U13,TPS7A20,TLV707,2.610000mm,34.535000mm,180.000000,Top
U14,BMI323,BMI323_BOS,41.750000mm,5.800000mm,0.000000,Top
X2,ASE-xxxMHz,Oscillator_SMD_Kyocera_4PIN_2.0x1.6mm,44.670000mm,34.500000mm,90.000000,Top
C3,100n,C_0402_1005Metric,35.475000mm,30.875000mm,90.000000,Bottom
C4,100n,C_0402_1005Metric,38.250000mm,35.120000mm,-90.000000,Bottom
C5,100n,C_0402_1005Metric,36.260000mm,35.110000mm,-90.000000,Bottom
C10,4u7,C_0402_1005Metric,37.675000mm,32.950000mm,90.000000,Bottom
C11,4u7,C_0402_1005Metric,35.725000mm,32.975000mm,-90.000000,Bottom
C12,4u7,C_0402_1005Metric,27.150000mm,34.750000mm,90.000000,Bottom
C13,470n,C_0201_0603Metric,9.750000mm,36.100000mm,0.000000,Bottom
C15,4u7,C_0402_1005Metric,29.100000mm,34.750000mm,-90.000000,Bottom
C16,100n,C_0402_1005Metric,39.675000mm,33.875000mm,180.000000,Bottom
C19,100n,C_0402_1005Metric,38.600000mm,29.525000mm,90.000000,Bottom
C20,100n,C_0402_1005Metric,20.950000mm,32.230000mm,-90.000000,Bottom
C23,470n,C_0201_0603Metric,24.300000mm,26.775000mm,90.000000,Bottom
C32,4u7,C_0402_1005Metric,12.050000mm,34.800000mm,90.000000,Bottom
C43,470n,C_0201_0603Metric,32.499999mm,20.199999mm,-90.000000,Bottom
C44,4u7,C_0402_1005Metric,32.150000mm,15.810000mm,180.000000,Bottom
C45,4u7,C_0402_1005Metric,35.400000mm,15.400000mm,90.000000,Bottom
C46,470n,C_0201_0603Metric,30.170000mm,20.450000mm,180.000000,Bottom
C47,470n,C_0201_0603Metric,29.624999mm,19.324999mm,-90.000000,Bottom
